# ./Data/BW2025-02-07_15:55:39_LCal2_BNC.txt
# Duration (in s): 30
# Pointing Position of the Horn: Sky
# Angle pointing (from horizontal perpendicular to supporting axis): 48.70
# Angle pointing (from horizontal parallel to supporting axis):  NA
# Calibrator used: YES
# Temperature Outside (in celcius): 25.4
# Temperature of the calibrator (in celcius): Low
# Weather: very clear
# Units: Volts
1.258827018737792969e+01 -9.407999999999999696e-01
1.264530825614929199e+01 -9.409999999999999476e-01
1.268826413154602051e+01 -9.404000000000000137e-01
1.274529409408569336e+01 -9.411000000000000476e-01
1.278827738761901855e+01 -9.407999999999999696e-01
1.284427809715270996e+01 -9.409999999999999476e-01
1.290126824378967285e+01 -9.407999999999999696e-01
1.294428634643554688e+01 -9.409999999999999476e-01
1.300138211250305176e+01 -9.407999999999999696e-01
1.304429221153259277e+01 -9.412000000000000366e-01
1.310026812553405762e+01 -9.405000000000000027e-01
1.314326119422912598e+01 -9.412000000000000366e-01
1.320036315917968750e+01 -9.408999999999999586e-01
1.324327516555786133e+01 -9.411000000000000476e-01
1.329929924011230469e+01 -9.411000000000000476e-01
1.334229922294616699e+01 -9.414000000000000146e-01
1.339931631088256836e+01 -9.412000000000000366e-01
1.344219899177551270e+01 -9.413000000000000256e-01
1.349919629096984863e+01 -9.412000000000000366e-01
1.354119133949279785e+01 -9.411000000000000476e-01
1.359823918342590332e+01 -9.408999999999999586e-01
1.364125013351440430e+01 -9.411000000000000476e-01
1.369817519187927246e+01 -9.415000000000000036e-01
1.375522923469543457e+01 -9.408999999999999586e-01
1.379730916023254395e+01 -9.409999999999999476e-01
1.385416221618652344e+01 -9.409999999999999476e-01
1.389717602729797363e+01 -9.413000000000000256e-01
1.395414328575134277e+01 -9.411000000000000476e-01
1.399618029594421387e+01 -9.409999999999999476e-01
1.405312108993530273e+01 -9.408999999999999586e-01
1.409615826606750488e+01 -9.415000000000000036e-01
1.415314626693725586e+01 -9.411000000000000476e-01
1.419518995285034180e+01 -9.413000000000000256e-01
1.425212311744689941e+01 -9.412000000000000366e-01
1.429511213302612305e+01 -9.412000000000000366e-01
1.435210013389587402e+01 -9.412000000000000366e-01
1.439511823654174805e+01 -9.414000000000000146e-01
1.445109724998474121e+01 -9.414000000000000146e-01
1.449406838417053223e+01 -9.409999999999999476e-01
1.455106520652770996e+01 -9.411000000000000476e-01
1.459410405158996582e+01 -9.407999999999999696e-01
1.465008115768432617e+01 -9.408999999999999586e-01
1.469334435462951660e+01 -9.411000000000000476e-01
1.475012302398681641e+01 -9.412000000000000366e-01
1.480708813667297363e+01 -9.413000000000000256e-01
1.485004210472106934e+01 -9.415000000000000036e-01
1.490612721443176270e+01 -9.411000000000000476e-01
1.494910526275634766e+01 -9.412000000000000366e-01
1.500617122650146484e+01 -9.413000000000000256e-01
1.504806399345397949e+01 -9.415000000000000036e-01
1.510607528686523438e+01 -9.412000000000000366e-01
1.514802217483520508e+01 -9.415000000000000036e-01
1.520517921447753906e+01 -9.413000000000000256e-01
1.524804115295410156e+01 -9.415999999999999925e-01
1.530402612686157227e+01 -9.412000000000000366e-01
1.534701895713806152e+01 -9.415999999999999925e-01
1.540406823158264160e+01 -9.411000000000000476e-01
1.544706201553344727e+01 -9.415999999999999925e-01
1.550302529335021973e+01 -9.413000000000000256e-01
1.554598712921142578e+01 -9.415000000000000036e-01
1.560303926467895508e+01 -9.415000000000000036e-01
1.564603424072265625e+01 -9.415999999999999925e-01
1.570304203033447266e+01 -9.415000000000000036e-01
1.575903511047363281e+01 -9.415999999999999925e-01
1.580198216438293457e+01 -9.411000000000000476e-01
1.585898518562316895e+01 -9.414000000000000146e-01
1.590202903747558594e+01 -9.411000000000000476e-01
1.595900535583496094e+01 -9.413000000000000256e-01
1.600096416473388672e+01 -9.414000000000000146e-01
1.605793023109436035e+01 -9.415000000000000036e-01
1.610106110572814941e+01 -9.414000000000000146e-01
1.615806722640991211e+01 -9.413000000000000256e-01
1.620001316070556641e+01 -9.415000000000000036e-01
1.625698137283325195e+01 -9.414000000000000146e-01
1.629992318153381348e+01 -9.414000000000000146e-01
1.635694122314453125e+01 -9.414000000000000146e-01
1.639895606040954590e+01 -9.412000000000000366e-01
1.645595431327819824e+01 -9.406999999999999806e-01
1.649889612197875977e+01 -9.403000000000000247e-01
1.655589914321899414e+01 -9.395999999999999908e-01
1.661292123794555664e+01 -9.394000000000000128e-01
1.665496015548706055e+01 -9.391000000000000458e-01
1.671191024780273438e+01 -9.391000000000000458e-01
1.675485730171203613e+01 -9.387999999999999678e-01
1.681185936927795410e+01 -9.386999999999999789e-01
1.685485100746154785e+01 -9.377999999999999670e-01
1.691085004806518555e+01 -9.374000000000000110e-01
1.695394420623779297e+01 -9.367999999999999661e-01
1.701086997985839844e+01 -9.358999999999999542e-01
1.705382823944091797e+01 -9.354000000000000092e-01
1.711085820198059082e+01 -9.356999999999999762e-01
1.715280628204345703e+01 -9.354999999999999982e-01
1.720987915992736816e+01 -9.358999999999999542e-01
1.725282716751098633e+01 -9.364999999999999991e-01
1.730988526344299316e+01 -9.371000000000000441e-01
1.735181427001953125e+01 -9.372000000000000330e-01
1.740880203247070312e+01 -9.375999999999999890e-01
1.746580123901367188e+01 -9.377999999999999670e-01
1.750879001617431641e+01 -9.373000000000000220e-01
1.756577301025390625e+01 -9.375000000000000000e-01
1.760777115821838379e+01 -9.370000000000000551e-01
1.766481018066406250e+01 -9.364999999999999991e-01
1.770781207084655762e+01 -9.354999999999999982e-01
1.776481199264526367e+01 -9.348999999999999533e-01
1.780674815177917480e+01 -9.327999999999999625e-01
1.786376023292541504e+01 -9.302000000000000268e-01
1.790673303604125977e+01 -9.246999999999999664e-01
1.796372723579406738e+01 -9.212000000000000188e-01
1.800575423240661621e+01 -9.164999999999999813e-01
1.806277132034301758e+01 -9.133999999999999897e-01
1.811971235275268555e+01 -9.114999999999999769e-01
1.816274523735046387e+01 -9.095999999999999641e-01
1.821975517272949219e+01 -9.046999999999999487e-01
